tournament_year,match_id,minute,stoppage_minute,display_minute,player,team,opponent,stage,stage_group,is_knockout,is_penalty,is_own_goal
1978,M-1978-17,38,0,38,Marc Berdoll,France,Hungary,group stage,Group,false,false,false
1978,M-1978-17,41,0,41,Sándor Zombori,Hungary,France,group stage,Group,false,false,false
1978,M-1978-17,42,0,42,Dominique Rocheteau,France,Hungary,group stage,Group,false,false,false
1978,M-1978-18,43,0,43,Zbigniew Boniek,Poland,Mexico,group stage,Group,false,false,false
1978,M-1978-18,52,0,52,Víctor Rangel,Mexico,Poland,group stage,Group,false,false,false
1978,M-1978-18,56,0,56,Kazimierz Deyna,Poland,Mexico,group stage,Group,false,false,false
1978,M-1978-18,84,0,84,Zbigniew Boniek,Poland,Mexico,group stage,Group,false,false,false
1978,M-1978-20,67,0,67,Roberto Bettega,Italy,Argentina,group stage,Group,false,false,false
1978,M-1978-21,40,0,40,Roberto Dinamite,Brazil,Austria,group stage,Group,false,false,false
1978,M-1978-22,75,0,75,Juan Manuel Asensi,Spain,Sweden,group stage,Group,false,false,false
1978,M-1978-23,2,0,2,José Velásquez,Peru,Iran,group stage,Group,false,false,false
1978,M-1978-23,36,0,36,Teófilo Cubillas,Peru,Iran,group stage,Group,false,true,false
1978,M-1978-23,39,0,39,Teófilo Cubillas,Peru,Iran,group stage,Group,false,true,false
1978,M-1978-23,41,0,41,Hassan Roshan,Iran,Peru,group stage,Group,false,false,false
1978,M-1978-23,79,0,79,Teófilo Cubillas,Peru,Iran,group stage,Group,false,false,false
1978,M-1978-24,34,0,34,Rob Rensenbrink,Netherlands,Scotland,group stage,Group,false,true,false
1978,M-1978-24,45,0,45,Kenny Dalglish,Scotland,Netherlands,group stage,Group,false,false,false
1978,M-1978-24,46,0,46,Archie Gemmill,Scotland,Netherlands,group stage,Group,false,true,false
1978,M-1978-24,68,0,68,Archie Gemmill,Scotland,Netherlands,group stage,Group,false,false,false
1978,M-1978-24,71,0,71,Johnny Rep,Netherlands,Scotland,group stage,Group,false,false,false
1978,M-1978-25,6,0,6,Ernie Brandts,Netherlands,Austria,second group stage,Group,false,false,false
1978,M-1978-25,35,0,35,Rob Rensenbrink,Netherlands,Austria,second group stage,Group,false,true,false
1978,M-1978-25,36,0,36,Johnny Rep,Netherlands,Austria,second group stage,Group,false,false,false
1978,M-1978-25,53,0,53,Johnny Rep,Netherlands,Austria,second group stage,Group,false,false,false
1978,M-1978-25,80,0,80,Erich Obermayer,Austria,Netherlands,second group stage,Group,false,false,false
1978,M-1978-25,82,0,82,Willy van de Kerkhof,Netherlands,Austria,second group stage,Group,false,false,false
1978,M-1978-27,15,0,15,not applicable Dirceu,Brazil,Peru,second group stage,Group,false,false,false
1978,M-1978-27,27,0,27,not applicable Dirceu,Brazil,Peru,second group stage,Group,false,false,false
1978,M-1978-27,72,0,72,not applicable Zico,Brazil,Peru,second group stage,Group,false,true,false
1978,M-1978-28,16,0,16,Mario Kempes,Argentina,Poland,second group stage,Group,false,false,false
1978,M-1978-28,71,0,71,Mario Kempes,Argentina,Poland,second group stage,Group,false,false,false
1978,M-1978-29,65,0,65,Andrzej Szarmach,Poland,Peru,second group stage,Group,false,false,false
1978,M-1978-30,13,0,13,Paolo Rossi,Italy,Austria,second group stage,Group,false,false,false
1978,M-1978-31,3,0,3,Rüdiger Abramczik,West Germany,Netherlands,second group stage,Group,false,false,false
1978,M-1978-31,27,0,27,Arie Haan,Netherlands,West Germany,second group stage,Group,false,false,false
1978,M-1978-31,70,0,70,Dieter Müller,West Germany,Netherlands,second group stage,Group,false,false,false
1978,M-1978-31,82,0,82,René van de Kerkhof,Netherlands,West Germany,second group stage,Group,false,false,false
1978,M-1978-33,19,0,19,Karl-Heinz Rummenigge,West Germany,Austria,second group stage,Group,false,false,false
1978,M-1978-33,59,0,59,Berti Vogts,Austria,West Germany,second group stage,Group,false,false,true
1978,M-1978-33,66,0,66,Hans Krankl,Austria,West Germany,second group stage,Group,false,false,false
1978,M-1978-33,68,0,68,Bernd Hölzenbein,West Germany,Austria,second group stage,Group,false,false,false
1978,M-1978-33,87,0,87,Hans Krankl,Austria,West Germany,second group stage,Group,false,false,false
1978,M-1978-34,19,0,19,Ernie Brandts,Italy,Netherlands,second group stage,Group,false,false,true
1978,M-1978-34,49,0,49,Ernie Brandts,Netherlands,Italy,second group stage,Group,false,false,false
1978,M-1978-34,76,0,76,Arie Haan,Netherlands,Italy,second group stage,Group,false,false,false
1978,M-1978-35,13,0,13,not applicable Nelinho,Brazil,Poland,second group stage,Group,false,false,false
1978,M-1978-35,45,0,45,Grzegorz Lato,Poland,Brazil,second group stage,Group,false,false,false
1978,M-1978-35,58,0,58,Roberto Dinamite,Brazil,Poland,second group stage,Group,false,false,false
1978,M-1978-35,63,0,63,Roberto Dinamite,Brazil,Poland,second group stage,Group,false,false,false
1978,M-1978-36,21,0,21,Mario Kempes,Argentina,Peru,second group stage,Group,false,false,false
1978,M-1978-36,43,0,43,Alberto Tarantini,Argentina,Peru,second group stage,Group,false,false,false
1978,M-1978-36,49,0,49,Mario Kempes,Argentina,Peru,second group stage,Group,false,false,false
1978,M-1978-36,50,0,50,Leopoldo Luque,Argentina,Peru,second group stage,Group,false,false,false
1978,M-1978-36,67,0,67,René Houseman,Argentina,Peru,second group stage,Group,false,false,false
1978,M-1978-36,72,0,72,Leopoldo Luque,Argentina,Peru,second group stage,Group,false,false,false
1978,M-1978-37,38,0,38,Franco Causio,Italy,Brazil,third-place match,Third-place,true,false,false
1978,M-1978-37,64,0,64,not applicable Nelinho,Brazil,Italy,third-place match,Third-place,true,false,false
1978,M-1978-37,71,0,71,not applicable Dirceu,Brazil,Italy,third-place match,Third-place,true,false,false
1978,M-1978-38,38,0,38,Mario Kempes,Argentina,Netherlands,final,Final,true,false,false
1978,M-1978-38,82,0,82,Dick Nanninga,Netherlands,Argentina,final,Final,true,false,false
1978,M-1978-38,105,0,105,Mario Kempes,Argentina,Netherlands,final,Final,true,false,false
1978,M-1978-38,115,0,115,Daniel Bertoni,Argentina,Netherlands,final,Final,true,false,false
1982,M-1982-01,62,0,62,Erwin Vandenbergh,Belgium,Argentina,group stage,Group,false,false,false
1982,M-1982-03,34,0,34,Andriy Bal,Soviet Union,Brazil,group stage,Group,false,false,false
1982,M-1982-03,75,0,75,not applicable Sócrates,Brazil,Soviet Union,group stage,Group,false,false,false
1982,M-1982-03,88,0,88,not applicable Éder,Brazil,Soviet Union,group stage,Group,false,false,false
1982,M-1982-05,4,0,4,Tibor Nyilasi,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,11,0,11,Gábor Pölöskei,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,23,0,23,László Fazekas,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,50,0,50,József Tóth,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,54,0,54,László Fazekas,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,64,0,64,Luis Ramírez Zapata,El Salvador,Hungary,group stage,Group,false,false,false
1982,M-1982-05,69,0,69,László Kiss,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,70,0,70,Lázár Szentes,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,72,0,72,László Kiss,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,76,0,76,László Kiss,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-05,83,0,83,Tibor Nyilasi,Hungary,El Salvador,group stage,Group,false,false,false
1982,M-1982-06,18,0,18,Kenny Dalglish,Scotland,New Zealand,group stage,Group,false,false,false
1982,M-1982-06,29,0,29,John Wark,Scotland,New Zealand,group stage,Group,false,false,false
1982,M-1982-06,32,0,32,John Wark,Scotland,New Zealand,group stage,Group,false,false,false
1982,M-1982-06,54,0,54,Steve Sumner,New Zealand,Scotland,group stage,Group,false,false,false
1982,M-1982-06,64,0,64,Steve Wooddin,New Zealand,Scotland,group stage,Group,false,false,false
1982,M-1982-06,73,0,73,John Robertson,Scotland,New Zealand,group stage,Group,false,false,false
1982,M-1982-06,79,0,79,Steve Archibald,Scotland,New Zealand,group stage,Group,false,false,false
1982,M-1982-07,54,0,54,Rabah Madjer,Algeria,West Germany,group stage,Group,false,false,false
1982,M-1982-07,67,0,67,Karl-Heinz Rummenigge,West Germany,Algeria,group stage,Group,false,false,false
1982,M-1982-07,68,0,68,Lakhdar Belloumi,Algeria,West Germany,group stage,Group,false,false,false
1982,M-1982-08,1,0,1,Bryan Robson,England,France,group stage,Group,false,false,false
1982,M-1982-08,24,0,24,Gérard Soler,France,England,group stage,Group,false,false,false
1982,M-1982-08,67,0,67,Bryan Robson,England,France,group stage,Group,false,false,false
1982,M-1982-08,83,0,83,Paul Mariner,England,France,group stage,Group,false,false,false
1982,M-1982-09,8,0,8,Héctor Zelaya,Honduras,Spain,group stage,Group,false,false,false
1982,M-1982-09,65,0,65,Roberto López Ufarte,Spain,Honduras,group stage,Group,false,true,false
1982,M-1982-10,22,0,22,Walter Schachner,Austria,Chile,group stage,Group,false,false,false
1982,M-1982-11,21,0,21,Antonín Panenka,Czechoslovakia,Kuwait,group stage,Group,false,true,false
1982,M-1982-11,57,0,57,Faisal Al-Dakhil,Kuwait,Czechoslovakia,group stage,Group,false,false,false
1982,M-1982-13,18,0,18,Bruno Conti,Italy,Peru,group stage,Group,false,false,false
1982,M-1982-13,83,0,83,Rubén Toribio Díaz,Peru,Italy,group stage,Group,false,false,false
1982,M-1982-14,26,0,26,Daniel Bertoni,Argentina,Hungary,group stage,Group,false,false,false
1982,M-1982-14,28,0,28,Diego Maradona,Argentina,Hungary,group stage,Group,false,false,false
1982,M-1982-14,57,0,57,Diego Maradona,Argentina,Hungary,group stage,Group,false,false,false
1982,M-1982-14,60,0,60,Osvaldo Ardiles,Argentina,Hungary,group stage,Group,false,false,false
1982,M-1982-14,76,0,76,Gábor Pölöskei,Hungary,Argentina,group stage,Group,false,false,false
1982,M-1982-15,18,0,18,David Narey,Scotland,Brazil,group stage,Group,false,false,false
1982,M-1982-15,33,0,33,not applicable Zico,Brazil,Scotland,group stage,Group,false,false,false
1982,M-1982-15,48,0,48,not applicable Oscar,Brazil,Scotland,group stage,Group,false,false,false
1982,M-1982-15,63,0,63,not applicable Éder,Brazil,Scotland,group stage,Group,false,false,false
1982,M-1982-15,87,0,87,not applicable Falcão,Brazil,Scotland,group stage,Group,false,false,false
1982,M-1982-17,19,0,19,Ludo Coeck,Belgium,El Salvador,group stage,Group,false,false,false
1982,M-1982-18,24,0,24,Yuri Gavrilov,Soviet Union,New Zealand,group stage,Group,false,false,false
1982,M-1982-18,48,0,48,Oleh Blokhin,Soviet Union,New Zealand,group stage,Group,false,false,false
1982,M-1982-18,68,0,68,Sergei Baltacha,Soviet Union,New Zealand,group stage,Group,false,false,false
1982,M-1982-19,9,0,9,Karl-Heinz Rummenigge,West Germany,Chile,group stage,Group,false,false,false
1982,M-1982-19,57,0,57,Karl-Heinz Rummenigge,West Germany,Chile,group stage,Group,false,false,false
1982,M-1982-19,66,0,66,Karl-Heinz Rummenigge,West Germany,Chile,group stage,Group,false,false,false
1982,M-1982-19,81,0,81,Uwe Reinders,West Germany,Chile,group stage,Group,false,false,false
1982,M-1982-19,90,0,90,Gustavo Moscoso,Chile,West Germany,group stage,Group,false,false,false
1982,M-1982-20,62,0,62,Trevor Francis,England,Czechoslovakia,group stage,Group,false,false,false
1982,M-1982-20,66,0,66,Jozef Barmoš,England,Czechoslovakia,group stage,Group,false,false,true
1982,M-1982-21,10,0,10,Ivan Gudelj,Yugoslavia,Spain,group stage,Group,false,false,false
1982,M-1982-21,14,0,14,not applicable Juanito,Spain,Yugoslavia,group stage,Group,false,true,false
1982,M-1982-21,66,0,66,Enrique Saura,Spain,Yugoslavia,group stage,Group,false,false,false
